EditionId	ASIN	ISBN	Title	Author	Edition Author	Binding	PublicationYear	Rating	Tags	Note	Condition	DatePurchased	PurchasePrice	DateRead	Signed	Loaned	LoanedTo	LoanedDate	LoanDueDate	DateAdded	Private	Favorites list	I plan to read list	Wish list	I've read list	I own list	I'm reading list	Review
87280373	"B00CAYHLOM"	""	Ex Machina, Vol. 1: The First Hundred Days by Brian K. Vaughan 1st (first) Edition (2/1/2005)			Paperback	1600	4						5/16/2013						5/16/2013		False	False	False	True	False	False	
87288177	"1770461353"	"1770461353"	Showa 1926-1939: A History of Japan	Mizuki, Shigeru	Shigeru Mizuki	Paperback	2013	5						1/20/2014						12/27/2013		False	False	False	True	False	False	
87400561	"1616551690"	"1616551690"	Smoke / Ashes		Alex De Campi	Paperback	2013	5						12/25/2013						12/26/2013		False	False	False	True	False	False	
87433731	"1938073452"	"1938073452"	McSweeney's Issue 44 (Mcsweeney's Quarterly Concern)			Hardcover	2013	5						11/12/2013						11/9/2013		False	False	False	True	False	False	
87595504	"B00E5KB9RE"	""	Remembrance of Things Past	Proust, Marcel	Marcel Proust	Kindle Edition	2013	4												6/2/2014		False	False	False	False	False	False	
87642959	"0385351399"	"0385351399"	The Circle	Eggers, Dave	Dave Eggers	Hardcover	2013	5						11/21/2013						11/21/2013		False	False	False	True	False	False	
87764793	"1770461515"	"1770461515"	Showa 1938-1944: A History of Japan	Mizuki, Shigeru	Shigeru Mizuki	Paperback	2014													12/27/2013		False	False	False	False	False	True	
87771170	"B009NGC5O6"	""	Concrete Mathematics: A Foundation for Computer Science (2nd Edition)		Graham / Knuth / Patashnik	Paperback	1994													9/13/2013		False	True	False	False	False	False	
87854944	"1937785645"	"1937785645"	Web Development with Clojure: Build Bulletproof Web Apps with Less Code		Dmitri Sotnikov	Paperback	2014	3						7/13/2014						6/24/2014		False	False	False	True	False	False	
87880131	"0062273205"	"0062273205"	The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers		Ben Horowitz	Hardcover	2014	4						4/30/2014						3/17/2014		False	False	False	True	False	False	
88103790	"1938073630"	"1938073630"	McSweeney's Issue 45 (Mcsweeney's Quarterly Concern)			Paperback	2013	4						1/25/2014						1/14/2014		False	False	False	True	False	False	
88154685	"1607069318"	"1607069318"	Saga Volume 3 TP	Vaughan, Brian K.; Fiona Staples	Brian K. Vaughan	Paperback	2014	5						3/28/2014						3/28/2014		False	False	False	True	False	False	
88192883	"B00HB8PYD2"	""	Lapham`s Quarterly (Winter 2014,Comedy Issue)			Single Issue Magazine	2014	3												1/26/2014		False	True	False	False	False	False	
88302309	"1938073851"	"1938073851"	McSweeney's Issue 46 (Mcsweeney's Quarterly Concern)			Hardcover	2014	3						6/20/2014						5/26/2014		False	False	False	True	False	False	
88383525	"1495421082"	"1495421082"	The Jungle Book		Rudyard Kipling	Paperback	2014													5/11/2014		False	True	False	False	False	False	
